

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
1444.787  000.082  000.082: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-jsonc.git/ftdetect/jsonc.vim
1444.974  000.028  000.028: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-kivy/plugin/kv.vim
1445.120  000.027  000.027: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-less/ftdetect/less.vim
1445.344  000.082  000.082: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-markdown/ftdetect/markdown.vim
1445.582  000.116  000.116: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-marp/plugin/marp.vim
1445.917  000.153  000.153: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-radical.git/plugin/radical.vim
1447.536  001.479  001.479: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-ragtag/plugin/ragtag.vim
1448.300  000.510  000.510: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-rsi.git/plugin/rsi.vim
1449.802  001.109  001.109: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-sandwich/plugin/operator/sandwich.vim
1450.306  000.451  000.451: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-sandwich/plugin/sandwich.vim
1450.690  000.339  000.339: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-sandwich/plugin/textobj/sandwich.vim
1451.176  000.333  000.333: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-scala/plugin/scala.vim
1451.356  000.082  000.082: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-scala/ftdetect/scala.vim
1452.685  001.198  001.198: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-scriptease/plugin/scriptease.vim
1453.133  000.287  000.287: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-slime.git/plugin/slime.vim
1453.297  000.029  000.029: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-solidity/ftdetect/solidity.vim
1454.735  001.311  001.311: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-speeddating.git/plugin/speeddating.vim
1455.370  000.457  000.457: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-startify/plugin/startify.vim
1455.560  000.035  000.035: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-svelte/ftdetect/svelte.vim
1456.038  000.350  000.350: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-terraform/ftdetect/terraform.vim
1456.228  000.035  000.035: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-terraform-completion/ftdetect/tfcompleterc.vim
1458.198  001.612  001.612: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-textobj-user/autoload/textobj/user.vim
1460.684  004.286  002.673: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-textobj-fold/plugin/textobj/fold.vim
1465.348  004.449  004.449: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-textobj-indblock/plugin/textobj/indblock.vim
1467.945  002.386  002.386: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-textobj-line/plugin/textobj/line.vim
1468.308  000.116  000.116: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-textobj-sentence/plugin/textobj/sentence.vim
1471.206  002.687  002.687: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-textobj-syntax/plugin/textobj/syntax.vim
1471.490  000.067  000.067: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-toml/ftdetect/toml.vim
1471.699  000.082  000.082: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-vagrant/plugin/vagrant.vim
1471.814  000.031  000.031: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-vagrant/ftdetect/vagrant.vim
1472.081  000.148  000.148: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-veil.git/plugin/veil.vim
1472.438  000.210  000.210: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-visual-star-search/plugin/visual-star-search.vim
1473.168  000.569  000.569: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-wordy/plugin/wordy.vim
1473.563  000.226  000.226: sourcing /home/sroeca/.config/nvim/pack/packager/start/vimoutliner/ftdetect/votl.vim
1474.468  000.740  000.740: sourcing /home/sroeca/.config/nvim/pack/packager/start/winresizer/plugin/winresizer.vim
1474.688  000.076  000.076: sourcing /home/sroeca/.config/nvim/pack/packager/start/wmgraphviz.vim/ftdetect/dot.vim
1474.864  019.733: loading packages
1476.829  000.820  000.820: sourcing /home/sroeca/.config/nvim/pack/packager/start/tabular/autoload/tabular.vim
1480.106  004.881  004.061: sourcing /home/sroeca/.config/nvim/pack/packager/start/tabular/after/plugin/TabularMaps.vim
1481.007  000.735  000.735: sourcing /home/sroeca/.config/nvim/pack/packager/start/indentLine/after/plugin/indentLine.vim
1481.171  000.691: loading after plugins
1481.206  000.035: inits 3
1483.081  001.875: reading ShaDa
1484.074  000.993: opening buffers
1491.348  007.274: BufEnter autocommands
1491.361  000.013: editing files in windows
1555.345  000.798  000.798: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-startify/autoload/startify/fortune.vim
1557.260  000.990  000.990: sourcing /home/sroeca/.config/nvim/pack/packager/start/neomake/autoload/neomake/configure.vim
1559.431  000.107  000.107: sourcing /home/sroeca/.config/nvim/pack/packager/start/neomake/autoload/neomake/core.vim
1559.989  001.214  001.106: sourcing /home/sroeca/.config/nvim/pack/packager/start/neomake/autoload/neomake/utils.vim
1560.272  001.971  000.757: sourcing /home/sroeca/.config/nvim/pack/packager/start/neomake/autoload/neomake/compat.vim
